"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"149",9,"Jaylen Wright",MIA,"25.2","0","0","3","8","0","68","249","0"
"150",9,"Michael Penix Jr.",ATL,"47.1","775","3","0","0","0","7","11","1"
"151",10,"Braelon Allen",NYJ,"75.7","0","0","19","148","1","92","334","2"
"152",10,"Marquise Brown",KC,"13.6","0","0","9","91","0","0","0","0"
"153",10,"Jaydon Blue",DAL,"0","0","0","0","0","0","0","0","0"
"154",10,"Romeo Doubs",GB,"109.1","0","0","46","601","4","0","0","0"
"155",10,"J.K. Dobbins",DEN,"175.8","0","0","32","153","0","195","905","9"
"156",10,"Tre Harris",LAC,"0","0","0","0","0","0","0","0","0"
"157",10,"Zach Ertz",WAS,"144.4","0","0","66","654","7","0","0","0"
"158",10,"Geno Smith",LV,"281","4320","21","0","0","0","53","272","2"
"159",10,"Isaiah Likely",BAL,"102.7","0","0","42","477","6","0","0","0"
"160",10,"Adam Thielen",CAR,"115.5","0","0","48","615","5","0","0","0"
"161",10,"Roschon Johnson",CHI,"69.4","0","0","16","104","0","55","150","6"
"162",10,"Jalen McMillan",TB,"116.9","0","0","37","461","8","4","43","0"
"163",10,"Pat Freiermuth",PIT,"135.8","0","0","65","653","7","0","0","0"
"164",10,"MarShawn Lloyd",GB,"2.3","0","0","1","3","0","6","15","0"
"165",10,"Kyle Williams",NE,"0","0","0","0","0","0","0","0","0"
"166",10,"Blake Corum",LAR,"30","0","0","7","58","0","58","207","0"
"167",10,"Jerome Ford",CLE,"115.5","0","0","37","225","0","104","565","3"
"168",10,"Quentin Johnston",LAC,"147.2","0","0","55","711","8","3","6","0"
"169",10,"Wan'Dale Robinson",NYG,"136.2","0","0","93","699","3","3","18","0"
"170",10,"Denver Broncos",DEN,"179","0","0","0","0","0","0","0","0"
"171",10,"Jayden Higgins",HOU,"0","0","0","0","0","0","0","0","0"
"172",10,"Sam Darnold",SEA,"320","4319","35","0","0","0","67","212","1"
"173",10,"Xavier Legette",CAR,"100.6","0","0","49","497","4","6","24","0"
"174",10,"Philadelphia Eagles",PHI,"135","0","0","0","0","0","0","0","0"
"175",10,"Mike Gesicki",CIN,"109","0","0","65","665","2","0","0","0"
"176",10,"Cameron Ward",TEN,"0","0","0","0","0","0","0","0","0"
"177",10,"Brenton Strange",JAC,"71.1","0","0","40","411","2","0","0","0"
"178",10,"Nick Chubb",HOU,"60.8","0","0","5","31","1","102","332","3"
"179",10,"Joshua Palmer",BUF,"87.9","0","0","39","584","1","0","0","0"
"180",10,"Pittsburgh Steelers",PIT,"146","0","0","0","0","0","0","0","0"
"181",10,"Cade Otton",TB,"111.1","0","0","59","600","4","1","-4","0"
"182",10,"DeAndre Hopkins",BAL,"119","0","0","56","610","5","0","0","0"
"183",10,"Minnesota Vikings",MIN,"162","0","0","0","0","0","0","0","0"
"184",10,"DeMario Douglas",NE,"114.7","0","0","66","621","3","3","16","0"
"185",10,"Baltimore Ravens",BAL,"120","0","0","0","0","0","0","0","0"
"186",10,"Jack Bech",LV,"0","0","0","0","0","0","0","0","0"
"187",11,"Kansas City Chiefs",KC,"106","0","0","0","0","0","0","0","0"
"188",11,"Alec Pierce",IND,"142.9","0","0","37","824","7","0","0","0"
"189",11,"Jalen Coker",CAR,"76.6","0","0","32","478","2","0","0","0"
"190",11,"Houston Texans",HOU,"139","0","0","0","0","0","0","0","0"
"191",11,"Buffalo Bills",BUF,"133","0","0","0","0","0","0","0","0"
"192",11,"Kareem Hunt",KC,"143.9","0","0","23","176","0","200","728","7"
"193",11,"Chig Okonkwo",TEN,"87.6","0","0","52","479","2","1","17","0"
"194",11,"Brandon Aubrey",DAL,"192","0","0","0","0","0","0","0","0"
"195",11,"Dylan Sampson",CLE,"0","0","0","0","0","0","0","0","0"
"196",11,"Michael Wilson",ARI,"101","0","0","47","548","4","1","7","0"
"197",11,"DJ Giddens",IND,"0","0","0","0","0","0","0","0","0"
"198",11,"Dalton Schultz",HOU,"91.7","0","0","53","532","2","0","0","0"
"199",11,"Detroit Lions",DET,"123","0","0","0","0","0","0","0","0"
"200",11,"Justice Hill",BAL,"106.1","0","0","42","383","3","47","228","1"
"201",11,"Jake Bates",DET,"161","0","0","0","0","0","0","0","0"
"202",11,"Mason Taylor",NYJ,"0","0","0","0","0","0","0","0","0"
"203",11,"Los Angeles Chargers",LAC,"128","0","0","0","0","0","0","0","0"
"204",11,"Dontayvion Wicks",GB,"91","0","0","39","415","5","0","0","0"
"205",11,"Cameron Dicker",LAC,"179","0","0","0","0","0","0","0","0"
"206",11,"Aaron Rodgers",PIT,"267.6","3897","28","0","0","0","22","107","0"
"207",11,"Kendre Miller",NO,"26.6","0","0","5","33","0","39","148","1"
"208",11,"Wil Lutz",DEN,"160","0","0","0","0","0","0","0","0"
"209",11,"Los Angeles Rams",LAR,"118","0","0","0","0","0","0","0","0"
"210",11,"New York Jets",NYJ,"95","0","0","0","0","0","0","0","0"
"211",11,"Chris Boswell",PIT,"191","0","0","0","0","0","0","0","0"
"212",11,"Green Bay Packers",GB,"148","0","0","0","0","0","0","0","0"
"213",11,"Seattle Seahawks",SEA,"136","0","0","0","0","0","0","0","0"
"214",11,"Adonai Mitchell",IND,"42.3","0","0","23","312","0","4","6","0"
"215",11,"Devin Neal",NO,"0","0","0","0","0","0","0","0","0"
"216",11,"Jaleel McLaughlin",DEN,"85.2","0","0","24","76","2","113","496","1"
"217",11,"Andrei Iosivas",CIN,"101.9","0","0","36","479","6","0","0","0"
"218",11,"Ka'imi Fairbairn",HOU,"172","0","0","0","0","0","0","0","0"
"219",11,"Chase McLaughlin",TB,"164","0","0","0","0","0","0","0","0"
"220",11,"Evan McPherson",CIN,"94","0","0","0","0","0","0","0","0"
"221",11,"Darius Slayton",NYG,"90.5","0","0","39","573","2","2","17","0"
"222",11,"Jaylin Noel",HOU,"0","0","0","0","0","0","0","0","0"
"223",11,"Ja'Tavion Sanders",CAR,"56.7","0","0","33","342","1","0","0","0"
"224",11,"Harrison Butker",KC,"100","0","0","0","0","0","0","0","0"
"225",11,"Miles Sanders",DAL,"65.3","0","0","24","148","1","55","205","2"
"226",11,"Audric Estime",DEN,"46.2","0","0","5","27","0","76","310","2"
"227",11,"Anthony Richardson Sr.",IND,"174.9","1814","8","0","0","0","86","499","6"
"228",11,"Juwan Johnson",NO,"97.8","0","0","50","548","3","0","0","0"
"229",11,"Kyle Monangai",CHI,"0","0","0","0","0","0","0","0","0"
"230",11,"Cole Kmet",CHI,"96.9","0","0","47","474","4","0","0","0"
"231",11,"Tyler Bass",BUF,"146","0","0","0","0","0","0","0","0"
"232",11,"Devaughn Vele",DEN,"86","0","0","41","475","3","0","0","0"
"233",12,"Will Shipley",PHI,"13.7","0","0","4","35","0","30","82","0"
"234",12,"Jake Elliott",PHI,"141","0","0","0","0","0","0","0","0"
"235",12,"San Francisco 49ers",SF,"84","0","0","0","0","0","0","0","0"
"236",12,"Keenan Allen",FA,"150.4","0","0","70","744","7","0","0","0"
"237",12,"Jason Sanders",MIA,"166","0","0","0","0","0","0","0","0"
"238",12,"Raheem Mostert",LV,"61.4","0","0","19","161","0","85","278","2"
"239",12,"Calvin Austin III",PIT,"100.8","0","0","36","548","4","0","0","0"
"240",12,"Keaton Mitchell",BAL,"6.3","0","0","1","28","0","15","30","0"
"241",12,"Russell Wilson",NYG,"177.8","2482","16","0","0","0","43","155","2"
"242",12,"Jalen Tolbert",DAL,"127.5","0","0","49","610","7","0","0","0"
"243",12,"Elijah Mitchell",KC,"0","0","0","0","0","0","0","0","0"
"244",12,"Younghoe Koo",ATL,"120","0","0","0","0","0","0","0","0"
"245",12,"Elijah Arroyo",SEA,"0","0","0","0","0","0","0","0","0"
"246",12,"Elic Ayomanor",TEN,"0","0","0","0","0","0","0","0","0"
"247",12,"Tyler Lockett",TEN,"96.5","0","0","49","600","2","0","0","0"
"248",12,"Ollie Gordon II",MIA,"0","0","0","0","0","0","0","0","0"
"249",12,"Dallas Cowboys",DAL,"111","0","0","0","0","0","0","0","0"
"250",12,"Kenneth Gainwell",PIT,"54.6","0","0","16","116","0","75","290","1"
"251",12,"Tampa Bay Buccaneers",TB,"104","0","0","0","0","0","0","0","0"
"252",12,"Devin Singletary",NYG,"86.1","0","0","21","119","0","113","437","4"
"253",12,"Jarquez Hunter",LAR,"0","0","0","0","0","0","0","0","0"
"254",12,"Pat Bryant",DEN,"0","0","0","0","0","0","0","0","0"
"255",12,"Trevor Etienne",CAR,"0","0","0","0","0","0","0","0","0"
"256",12,"Antonio Gibson",NE,"91.9","0","0","23","206","0","120","538","1"
"257",12,"Diontae Johnson",CLE,"72.6","0","0","33","375","3","2","6","0"
"258",12,"Kayshon Boutte",NE,"100.4","0","0","43","589","3","0","0","0"
"259",12,"Brandin Cooks",NO,"56.6","0","0","26","259","3","3","-3","0"
"260",12,"Roman Wilson",PIT,"0","0","0","0","0","0","0","0","0"
"261",12,"Daniel Jones",IND,"142.3","2070","8","0","0","0","67","265","2"
"262",12,"Tahj Brooks",CIN,"0","0","0","0","0","0","0","0","0"
"263",12,"Joshua Karty",LAR,"135","0","0","0","0","0","0","0","0"
"264",12,"Noah Gray",KC,"93.3","0","0","40","437","5","1","-4","0"
"265",12,"Amari Cooper",FA,"100.7","0","0","44","547","4","0","0","0"
